222048_at	CRYBB2P1	287.1	1041	683.3	276.6	182.5	449.3	1625.4	1799	430.3	730.2	682.9	673.3
222049_s_at	RBP4	162.8	87.4	83.4	39	36.6	49.8	73.2	56.6	72.3	59.7	67.4	66.8
222050_at	222050_at	89.5	75.8	106.8	122.5	305.1	113.1	97.5	144	82.3	139.9	135.8	97.2
222051_s_at	E2F5	560	198.6	418.5	356.1	278.5	305	109.4	420.3	138.3	193.7	347.6	387.3
222052_at	C19orf54	497.8	370.8	559	273.2	384.8	629.7	233	287.1	846.2	765.8	276.9	104
222053_at	TAF6L	95.8	127.6	116.6	74.3	464	644.4	169.9	240.8	339	582.6	600.7	166.1
222054_at	PPIEL	338.6	116.1	167.6	126.5	113.1	187.6	248.1	83.9	114.4	179.5	212.5	76.9
222055_at	FAHD2CP	106.6	84.9	110.9	111.7	76.2	169.7	171.7	84.6	159.2	161.7	201.9	141.5
222056_s_at	FAHD2A	177.7	79.6	290.9	227.5	434.5	286	96.8	485.6	273.9	33.5	81.3	434
222057_at	NOL12	73.6	172.8	190.6	123.7	152.2	110.8	166.2	115	129.6	76.2	118.2	78.7
222058_at	RNF130	1064.6	151.3	578.3	614.3	812.4	1034.4	356.8	416.1	128.1	108.2	132.6	175.5
222059_at	ZNF335	93.7	126.1	126.5	93.5	132	180.4	74.8	111.9	203.7	80.6	69	114.9
222060_at	KRT8P12	108.2	78	293.9	137.8	88.5	143.9	111.7	331.2	231.6	79.9	117.7	83.8
222061_at	CD58	555.8	45	216.8	98.4	133	312.9	35.3	376.3	123.1	540.8	59.9	280.3
222062_at	IL27RA	67.3	41.8	69.9	53.3	76.4	77.2	51.2	90.3	35.7	31.2	63.5	74.1
222063_s_at	CDS1	249	80.7	104.9	69.9	43.9	77.6	204.2	84.7	290.8	209.5	466.6	51.9
222064_s_at	PTGES3L-AARSD1	110.3	231.1	644.1	629.3	511.9	442.2	261.9	402.4	279.5	268	493.4	334.2
222065_s_at	FLII	176.5	180.3	451.9	77.5	337	128.8	78	78.3	393.6	536.6	133.9	183.4
222066_at	EPB41L1	516.2	163.8	182.8	121.5	209.3	129.8	231.2	101.1	106.1	289	122.1	118.5
222067_x_at	HIST1H2BD	591.1	700.8	243.2	523.8	215.4	340.6	720.2	481.5	663.3	728.2	696.5	583.7
222068_s_at	DNAAF1	186.6	389.4	124	508	242.5	91.5	150.2	191.7	272.4	159.5	106.8	386.4
222069_s_at	RIN3	41.8	53.7	116.6	102	35.8	133	40.8	581.8	31.3	57.1	501.5	280.1
222070_at	DND1	1692.2	1553.5	1681.6	1278.8	1377.7	493.1	1523.6	724.1	138.1	1516	1019.6	1003.1
222071_s_at	SLCO4C1	43.1	405.7	257	179.8	265	86.3	246.8	269.3	39.6	269.7	203.2	262.2
222072_at	ADD3-AS1	318.9	1217.3	689.2	775.6	410.4	326.5	129.5	355.3	273.9	782.1	994.2	1045.9
222073_at	COL4A3	934.9	219.3	483	309	272.5	493.7	323.2	519	368.7	291.7	129.7	178.8
222074_at	UROD	227	19.3	42.7	133.6	164.1	318.4	293.1	448.1	201.7	130.6	264.6	174.4
222075_s_at	OAZ3	877.6	467.6	982.6	264.3	1190.4	1412.4	1143.7	827	932.5	1281.5	605.9	473.7
222076_at	HBEGF	148.8	88	197.7	52.6	109.4	97.2	370.2	35.1	268.5	93.7	233.8	53.2
222077_s_at	RACGAP1	300.9	276.5	206.8	372	234.8	261.9	161.8	124.3	351.7	256.4	277.8	44.8
222078_at	PKLR	218.2	205.2	289.8	369	706.1	476.4	967.6	313.4	316	466.2	421.6	423.6
222079_at	ERG	842.6	721.6	725.6	132.5	376.5	746.7	671.9	447.4	447	615.4	830.3	760.3
222080_s_at	SIRT5	204.5	186.1	388.9	292.9	109.2	701.6	446.9	157.5	410.3	459.5	127.4	223.7
222081_at	SIRT5	104.3	61.8	256.9	118.4	140	155.9	123.8	124.6	295.4	59.3	210.7	122.1
222082_at	ZBTB7A	1040.7	851.5	447.8	923.6	495.5	679.4	511.3	374.4	613.1	586.2	1144.2	643.5
222083_at	GLYAT	189.9	160.2	230.8	184	150.1	178.3	181.8	163.9	181	188.7	210.1	66.8
222084_s_at	SBF1	283.1	886.1	581.3	415.2	428.7	890.3	256.6	624	341.3	390.8	142.5	789.9
222085_at	FAM174B	39.4	103.2	58.5	87.2	61.5	36.7	85.7	55.2	84.2	40.7	63.6	103.1
222086_s_at	WNT6	35.9	46.4	38.6	46.2	28.2	39.7	41.3	41.8	38	35	44.2	47.7
222087_at	MIR1204	816.8	1173	1911.3	694.4	691.7	1146.8	1726.8	1299.9	1859.7	1156.2	1507.1	657.5
222088_s_at	SLC2A14	592.4	568.8	630.1	653.9	890.1	603.5	1111.5	140	423.1	136	668.6	571.6
222089_s_at	C16orf71	196.4	152.8	97.8	70.9	226.1	174	412	73.2	161.4	66.3	281	136.4
222090_at	NDUFB2-AS1	109.1	210	106.4	93.8	67.7	146	424.1	173.9	124.1	156.7	508.5	234.3
222091_at	HPCAL4	165.2	156	112.7	135.7	137.2	226.7	189	123.7	155.9	71.3	293.1	196.6
222092_at	PTPN21	435.8	620.3	528.7	681.8	708.5	523.7	747.6	536.7	538.1	311.2	571.3	596.9
222093_s_at	INO80B	330.7	1041.8	1240	693.1	1563.7	464.3	1400.1	1931.1	1582.7	877.6	1334.6	1793
222094_at	SLX1A-SULT1A3	1619	916.7	647.8	2051.3	1065.7	988	626.8	881.5	1037.1	1033.9	680.1	1216.9
222095_s_at	FAM163A	221.6	77.9	168	135.9	175.8	148.7	152.6	169.6	138.5	80.8	61	164.4
222096_x_at	LOC101060414	119.9	262.9	838.7	113.8	168.8	139.8	420.1	189.8	95.4	171.3	250.6	256.4
222097_at	222097_at	597.8	213.8	457.8	598.3	580.9	794	550.8	451.1	387.3	489.3	480	325.4
222098_s_at	222098_s_at	401.4	472.2	284.6	523.4	718.7	553.4	356	568.4	976	846	702.4	881.7
222099_s_at	LSM14A	984.1	1175.7	1345.3	1152.7	1020.3	1114.5	1554.5	2178.8	2504.1	1956.2	1965.2	2237.9
222100_at	CYP2E1	76.8	586.9	205.3	230.3	101.9	241.2	125.7	106.7	86.4	67.2	198.4	93.5
222101_s_at	DCHS1	1440.1	1651.7	1368.4	1582.5	780.6	1568.3	455.1	510.9	161.3	902.8	494	203.5
222102_at	GSTA3	221.7	143.9	240.6	160.8	81.2	193.2	124.4	189.1	310.8	105.8	157.3	137.6
222103_at	ATF1	12.1	29.8	15.5	15.4	14	72.6	11.1	22.7	14.7	28.9	14.8	20.8
222104_x_at	GTF2H3	122.5	93.3	132	110.3	64.4	72.3	84.8	82.6	49.7	74.9	87.7	82.4
222105_s_at	NKIRAS2	196.4	680.9	887.7	828.9	357.1	477	235.6	747.8	450.5	281	552	286.6
222106_at	PRND	648.9	498.6	127.3	472.4	373	558.1	113	449.6	493.2	280.8	237.4	584.4
222107_x_at	LZTS1	749.7	1560.2	1136.4	555.1	1028.2	510	714.8	1327	783.1	247.3	967.5	337.1
222108_at	AMIGO2	250.1	497.6	293.3	392.5	270.5	485.9	73.5	38.4	484.9	359.2	35.1	286.3
222109_at	GNL3L	433.9	413.2	1027.8	427.9	658.8	791.5	410.7	345.3	1092	1189.5	357.7	1063.4
222110_at	SENP5	912.8	1280.8	816.6	717.1	447.6	1275.2	975.4	485.8	1162.9	904.2	1060	750.2
222111_at	FAM63B	128	116.3	335.4	281.6	183.5	35.9	88.3	89.9	50.2	232.8	68.3	55.8
222112_at	EPS15L1	346	83.6	69.7	331.1	143.2	75.4	154	173.3	84.3	70	78.6	109.7
222113_s_at	EPS15L1	1775.1	1193.3	1360.1	1940.6	1762.3	1510.8	1307.9	1668.5	2464	1500	1521.1	1442.6
222114_x_at	WDR55	146.2	102.6	167.6	169.4	95.9	201.8	249.3	183.8	91.8	204.4	136.7	192.1
222115_x_at	GLYR1	1116.2	1309.3	1079.3	990.5	944.1	1441	1247	1272.3	1091.6	1439.6	1019.3	1108
222116_s_at	TBC1D16	42	42.5	127.4	73.4	113.1	80.9	41.7	45.3	154.1	38	54.7	63.2
222117_s_at	ADCK2	205.2	248.1	329.5	350.2	314.2	344.8	302.9	271.5	244.8	195	317.8	213.6
222118_at	CENPN	337.5	51.7	172.4	376.7	437.3	428.9	440.6	583.7	234.6	336.9	150.9	227.1
222119_s_at	FBXO11	75	68.2	56.7	167.4	32.2	112.2	85.6	96.2	47.3	53.9	39.9	80.8
222120_at	ZNF764	568.1	247.2	279.2	787.8	323.5	244	305	224	311.7	233.2	625.3	186.1
222121_at	ARHGEF26	234.8	502.4	76.8	434.2	488.6	536.6	103	479.3	271.4	485	334.2	300.1
222122_s_at	THOC2	671.7	167.8	485.2	273.2	191	315.7	147	132	248.6	615.2	288.3	286.8
222123_s_at	HIF3A	803.1	265.3	583.8	403.2	588.9	714.5	542.9	1335.4	813.2	976.6	990.9	810
222124_at	HIF3A	455.5	950.3	225.4	569.2	1961.2	657.3	1383.5	1438.8	1911.2	1216.9	725.6	432.5
222125_s_at	P4HTM	1729	2219.8	2344.7	1550.1	2224.7	2546.1	2239.6	1309.3	1564.5	2713.4	1826.7	1638.1
222126_at	AGFG2	339.1	826.5	143	231.1	386.2	143.9	124.6	320.1	184.6	269.6	250.1	350.3
